Time,Feedback
"Instant { tv_sec: 1774670, tv_nsec: 129991595 }",-1.2850001
"Instant { tv_sec: 1774670, tv_nsec: 146148534 }",-1.25
"Instant { tv_sec: 1774670, tv_nsec: 146279228 }",-1.393
"Instant { tv_sec: 1774670, tv_nsec: 161977847 }",-1.3520001
"Instant { tv_sec: 1774670, tv_nsec: 178056109 }",-1.5450001
"Instant { tv_sec: 1774670, tv_nsec: 178240499 }",-1.5130001
"Instant { tv_sec: 1774670, tv_nsec: 194046885 }",-1.3470001
"Instant { tv_sec: 1774670, tv_nsec: 194182628 }",-1.47
"Instant { tv_sec: 1774670, tv_nsec: 209473731 }",-1.4440001
"Instant { tv_sec: 1774670, tv_nsec: 209621863 }",-1.478
"Instant { tv_sec: 1774670, tv_nsec: 209695365 }",-1.276
"Instant { tv_sec: 1774670, tv_nsec: 226035826 }",-1.5380001
"Instant { tv_sec: 1774670, tv_nsec: 226202963 }",-1.317
"Instant { tv_sec: 1774670, tv_nsec: 241538621 }",-1.3230001
"Instant { tv_sec: 1774670, tv_nsec: 257557720 }",-1.2470001
"Instant { tv_sec: 1774670, tv_nsec: 257720763 }",-1.2110001
"Instant { tv_sec: 1774670, tv_nsec: 273467092 }",-1.396
"Instant { tv_sec: 1774670, tv_nsec: 273610981 }",-1.4770001
"Instant { tv_sec: 1774670, tv_nsec: 273682008 }",-1.45
"Instant { tv_sec: 1774670, tv_nsec: 289932154 }",-1.069
"Instant { tv_sec: 1774670, tv_nsec: 305578061 }",-1.3950001
"Instant { tv_sec: 1774670, tv_nsec: 305727057 }",-1.5410001
"Instant { tv_sec: 1774670, tv_nsec: 337929463 }",-1.475
"Instant { tv_sec: 1774670, tv_nsec: 338075642 }",-1.2670001
"Instant { tv_sec: 1774670, tv_nsec: 338150323 }",-1.3240001
"Instant { tv_sec: 1774670, tv_nsec: 353835201 }",-1.4260001
"Instant { tv_sec: 1774670, tv_nsec: 354021289 }",-1.391
"Instant { tv_sec: 1774670, tv_nsec: 369928719 }",-1.1
"Instant { tv_sec: 1774670, tv_nsec: 386019693 }",-1.182
"Instant { tv_sec: 1774670, tv_nsec: 386201087 }",-1.2870001
"Instant { tv_sec: 1774670, tv_nsec: 386274654 }",-1.531
"Instant { tv_sec: 1774670, tv_nsec: 401978333 }",-1.445
"Instant { tv_sec: 1774670, tv_nsec: 402124806 }",-1.1780001
"Instant { tv_sec: 1774670, tv_nsec: 418000612 }",-1.22
"Instant { tv_sec: 1774670, tv_nsec: 418188127 }",-1.202
"Instant { tv_sec: 1774670, tv_nsec: 434000347 }",-1.2290001
"Instant { tv_sec: 1774670, tv_nsec: 434147905 }",-1.4990001
"Instant { tv_sec: 1774670, tv_nsec: 449485213 }",-1.2270001
"Instant { tv_sec: 1774670, tv_nsec: 449668026 }",-1.4740001
"Instant { tv_sec: 1774670, tv_nsec: 465860635 }",-1.396
"Instant { tv_sec: 1774670, tv_nsec: 466102960 }",-0.808
"Instant { tv_sec: 1774670, tv_nsec: 481424950 }",-1.0780001
"Instant { tv_sec: 1774670, tv_nsec: 481569215 }",-1.113
"Instant { tv_sec: 1774670, tv_nsec: 481640144 }",-1.302
